Scenario,Metric,Unit,SAM slope,ESA slope,SAM / ESA ratio,SAM R2,ESA R2
disjoint_alphabet,Build Time,ms/char,0.004769103533146248,0.08248388832405577,0.057818607124942925,0.999572279991268,0.9997116582587612
disjoint_alphabet,Query Time,ms/char,0.0009354269678428487,0.0028934303261719647,0.32329341383534443,0.9997978624443968,0.9999221993898438
disjoint_alphabet,Total Time,ms/char,0.005706529488889911,0.08540075401389337,0.06682059842190091,0.9997032970547035,0.999722896524912
disjoint_alphabet,Peak Memory,KiB/char,0.3587523056165754,0.3360120650417491,1.0676768572938025,0.9999154717933767,0.9998557616795509
disjoint_alphabet,Index Size,KiB/char,0.35497042413281504,0.08920134196588766,3.9794291914191455,0.9999144087445218,0.9999674113440948
mutated_implant,Build Time,ms/char,0.005767634011133091,0.08679321120669826,0.06645259382554074,0.9993470004272433,0.9996663326012162
mutated_implant,Query Time,ms/char,0.00127026217969361,0.002974955559644845,0.426985262208507,0.9985760383732807,0.999946180868525
mutated_implant,Total Time,ms/char,0.00703035814509822,0.08978054398031006,0.0783060319465213,0.9993719757978949,0.9996781283064095
mutated_implant,Peak Memory,KiB/char,0.40697106810608075,0.28361543860985877,1.4349397553985412,0.9999863828116912,0.9999634515261181
mutated_implant,Index Size,KiB/char,0.4031238894224135,0.08920134196588766,4.51925812480014,0.9999869812078541,0.9999674113440948
near_identical,Build Time,ms/char,0.004231120186778305,0.09153094017113678,0.046226119592646116,0.9988847363184014,0.99943439108344
near_identical,Query Time,ms/char,0.00767151596356443,0.0030828414684639094,2.4884561992696055,0.9978538546745364,0.9999314634027439
near_identical,Total Time,ms/char,0.011881445921700326,0.09462657604545245,0.12556140587812512,0.9984757409787989,0.9994618877830016
near_identical,Peak Memory,KiB/char,0.340381924577046,0.3077443288661039,1.1060542555932602,0.9998515740952809,0.9999114381915497
near_identical,Index Size,KiB/char,0.33468854768079775,0.11586178125143765,2.8886880908077255,0.9998475551942702,0.9999681350591634
random_uniform,Build Time,ms/char,0.004252143327046051,0.08322614719142474,0.05109143545075907,0.9990090631825914,0.9995917218832611
random_uniform,Query Time,ms/char,0.0012046627409486128,0.002984598242627777,0.4036264324433739,0.9995153527748155,0.999919200249894
random_uniform,Total Time,ms/char,0.005444223558908774,0.086204783387772,0.06315454137178457,0.999297436652696,0.9996131911729467
random_uniform,Peak Memory,KiB/char,0.3386662911129353,0.35560324310219904,0.9523712105617773,0.9998496636415836,0.9998954294682689
random_uniform,Index Size,KiB/char,0.33470314872107465,0.08920134196588766,3.752221001888869,0.9998487285762228,0.9999674113440948
repetitive_with_noise,Build Time,ms/char,0.0062199193540967,0.0877543538896812,0.07087875505203946,0.9992336016149036,0.9996557881866728
repetitive_with_noise,Query Time,ms/char,0.001162281754611952,0.0029703124626213363,0.39129949095867994,0.9981387980480337,0.9999615613433313
repetitive_with_noise,Total Time,ms/char,0.007381453972489306,0.09072224874637713,0.081363216570225,0.9991792429956631,0.999678173798461
repetitive_with_noise,Peak Memory,KiB/char,0.44681108877576253,0.2823805374332935,1.582301290439722,0.9999844546772727,0.9999725981264708
repetitive_with_noise,Index Size,KiB/char,0.44298324321721033,0.08920134196588766,4.966105144321885,0.9999856621412228,0.9999674113440948
